check-targets: OK, 238 cargo test targets all accounted for in scripts/acceptance-targets.tsv
acceptance-wsl: logs in /private/tmp/claude-501/-Users-zerozaki07-tmp-libmuffintin/e260fabd-b225-4ee1-80e9-75310e7132bc/scratchpad/audit/baseline
RUN_EXIT distributed_hollow_sum ranks=1 exit=0
RUN_EXIT distributed_hollow_sum ranks=2 exit=0
RUN_EXIT distributed_hollow_sum ranks=4 exit=0
RUN_EXIT distributed_symmetric_diagonal ranks=1 exit=0
RUN_EXIT distributed_symmetric_diagonal ranks=2 exit=0
RUN_EXIT distributed_symmetric_diagonal ranks=4 exit=0
RUN_EXIT distributed_sy_sum ranks=1 exit=0
RUN_EXIT distributed_sy_sum ranks=2 exit=0
RUN_EXIT distributed_sy_sum ranks=4 exit=0
RUN_EXIT distributed_sy_scalars ranks=1 exit=0
RUN_EXIT distributed_sy_scalars ranks=2 exit=0
RUN_EXIT distributed_sy_scalars ranks=4 exit=0
RUN_EXIT distributed_canonical_contraction ranks=1 exit=0
RUN_EXIT distributed_canonical_contraction ranks=2 exit=0
RUN_EXIT distributed_canonical_contraction ranks=4 exit=0
RUN_EXIT distributed_symmetric_contraction ranks=1 exit=0
RUN_EXIT distributed_symmetric_contraction ranks=2 exit=0
RUN_EXIT distributed_symmetric_contraction ranks=4 exit=0
RUN_EXIT upstream_diag_sym ranks=1 exit=0
RUN_EXIT upstream_diag_sym ranks=2 exit=0
RUN_EXIT upstream_diag_sym ranks=4 exit=0
RUN_EXIT distributed_cross_diagonal ranks=1 exit=0
RUN_EXIT distributed_cross_diagonal ranks=2 exit=0
RUN_EXIT distributed_cross_diagonal ranks=4 exit=0
RUN_EXIT upstream_diag_ctr ranks=1 exit=0
RUN_EXIT upstream_diag_ctr ranks=2 exit=0
RUN_EXIT upstream_diag_ctr ranks=4 exit=0
RUN_EXIT upstream_sy_times_ns ranks=1 exit=0
RUN_EXIT upstream_sy_times_ns ranks=2 exit=0
RUN_EXIT upstream_sy_times_ns ranks=4 exit=0
RUN_EXIT upstream_multi_tsr_sym ranks=1 exit=0
RUN_EXIT upstream_multi_tsr_sym ranks=2 exit=0
RUN_EXIT upstream_multi_tsr_sym ranks=4 exit=0
RUN_EXIT upstream_reduce_bcast ranks=1 exit=0
RUN_EXIT upstream_reduce_bcast ranks=2 exit=0
RUN_EXIT upstream_reduce_bcast ranks=4 exit=0
RUN_EXIT distributed_sparse_multilinear ranks=1 exit=0
RUN_EXIT distributed_sparse_multilinear ranks=2 exit=0
RUN_EXIT distributed_sparse_multilinear ranks=4 exit=0
RUN_EXIT distributed_sparse_solve_factor ranks=1 exit=0
RUN_EXIT distributed_sparse_solve_factor ranks=2 exit=0
RUN_EXIT distributed_sparse_solve_factor ranks=4 exit=0
RUN_EXIT distributed_sparse_input_reduction ranks=1 exit=0
RUN_EXIT distributed_sparse_input_reduction ranks=2 exit=0
RUN_EXIT distributed_sparse_input_reduction ranks=4 exit=0
RUN_EXIT distributed_sparse_general ranks=1 exit=0
RUN_EXIT distributed_sparse_general ranks=2 exit=0
RUN_EXIT distributed_sparse_general ranks=4 exit=0
RUN_EXIT distributed_sparse_function ranks=1 exit=0
RUN_EXIT distributed_sparse_function ranks=2 exit=0
RUN_EXIT distributed_sparse_function ranks=4 exit=0
RUN_EXIT distributed_sparse_gemm_function ranks=1 exit=0
RUN_EXIT distributed_sparse_gemm_function ranks=2 exit=0
RUN_EXIT distributed_sparse_gemm_function ranks=4 exit=0
RUN_EXIT distributed_sparse_function_output ranks=1 exit=0
RUN_EXIT distributed_sparse_function_output ranks=2 exit=0
RUN_EXIT distributed_sparse_function_output ranks=4 exit=0
RUN_EXIT distributed_sparse_fold_function ranks=1 exit=0
RUN_EXIT distributed_sparse_fold_function ranks=2 exit=0
RUN_EXIT distributed_sparse_fold_function ranks=4 exit=0
RUN_EXIT upstream_bivar_function ranks=1 exit=0
RUN_EXIT upstream_bivar_function ranks=2 exit=0
RUN_EXIT upstream_bivar_function ranks=4 exit=0
RUN_EXIT distributed_dense_function ranks=1 exit=0
RUN_EXIT distributed_dense_function ranks=2 exit=0
RUN_EXIT distributed_dense_function ranks=4 exit=0
RUN_EXIT upstream_univar_function ranks=1 exit=0
RUN_EXIT upstream_univar_function ranks=2 exit=0
RUN_EXIT upstream_univar_function ranks=4 exit=0
RUN_EXIT upstream_endomorphism ranks=1 exit=0
RUN_EXIT upstream_endomorphism ranks=2 exit=0
RUN_EXIT upstream_endomorphism ranks=4 exit=0
RUN_EXIT upstream_bivar_transform ranks=1 exit=0
RUN_EXIT upstream_bivar_transform ranks=2 exit=0
RUN_EXIT upstream_bivar_transform ranks=4 exit=0
RUN_EXIT upstream_endomorphism_cust ranks=1 exit=0
RUN_EXIT upstream_endomorphism_cust ranks=2 exit=0
RUN_EXIT upstream_endomorphism_cust ranks=4 exit=0
RUN_EXIT upstream_endomorphism_cust_sp ranks=1 exit=0
RUN_EXIT upstream_endomorphism_cust_sp ranks=2 exit=0
RUN_EXIT upstream_endomorphism_cust_sp ranks=4 exit=0
RUN_EXIT distributed_exhaustive_mapping ranks=1 exit=0
RUN_EXIT distributed_exhaustive_mapping ranks=2 exit=0
RUN_EXIT distributed_exhaustive_mapping ranks=4 exit=0
RUN_EXIT distributed_normal_mapping ranks=1 exit=0
RUN_EXIT distributed_normal_mapping ranks=2 exit=0
RUN_EXIT distributed_normal_mapping ranks=4 exit=0
RUN_EXIT selected_mapping ranks=1 exit=0
RUN_EXIT selected_mapping ranks=2 exit=0
RUN_EXIT selected_mapping ranks=4 exit=0
RUN_EXIT dense_search ranks=1 exit=0
RUN_EXIT dense_search ranks=2 exit=0
RUN_EXIT dense_search ranks=4 exit=0
RUN_EXIT dense_execution ranks=1 exit=0
RUN_EXIT dense_execution ranks=2 exit=0
RUN_EXIT dense_execution ranks=4 exit=0
RUN_EXIT dense_execution_algebra ranks=1 exit=0
RUN_EXIT dense_execution_algebra ranks=2 exit=0
RUN_EXIT dense_execution_algebra ranks=4 exit=0
RUN_EXIT dense_folded_execution ranks=1 exit=0
RUN_EXIT dense_folded_execution ranks=2 exit=0
RUN_EXIT dense_folded_execution ranks=4 exit=0
RUN_EXIT distributed_node_fold ranks=1 exit=0
RUN_EXIT distributed_node_fold ranks=2 exit=0
RUN_EXIT distributed_node_fold ranks=4 exit=0
RUN_EXIT dense_low_memory ranks=1 exit=0
RUN_EXIT dense_low_memory ranks=2 exit=0
RUN_EXIT dense_low_memory ranks=4 exit=0
RUN_EXIT typed_folded_execution ranks=1 exit=0
RUN_EXIT typed_folded_execution ranks=2 exit=0
RUN_EXIT typed_folded_execution ranks=4 exit=0
RUN_EXIT typed_matrix_factors ranks=1 exit=0
RUN_EXIT typed_matrix_factors ranks=2 exit=0
